Gender,Age,toxicity
other,50,0.0004449090920388
other,12,0.0006437917472794
other,20,0.0004130579181946
male,13,0.0005551091744564
other,19,0.0005206807982176
other,20,0.0038128257729113
female,21,0.0005964618176221
male,21,0.0016906656092032
other,18,0.0004440765478648
other,20,0.0008740623597986
other,21,0.0005960430135019
other,20,0.0004139268712606
other,21,0.0014853496104478
other,23,0.0028594366740435
other,19,0.0012184451334178
other,18,0.000389296474168
other,19,0.0277537237852811
male,36,0.0005583556485362
other,19,0.0007728835335001
other,13,0.0036952467635273
female,20,0.0062644113786518
male,21,0.0004196258669253
female,12,0.0013539728242903
male,46,0.0004588921146932
female,22,0.000862511631567
male,21,0.0060366145335137
female,20,0.0041471295990049
male,20,0.0062595093622803
male,30,0.0005993042141199
female,20,0.0007666192832402
other,18,0.0007615217473357
other,17,0.0053706192411482
other,23,0.01846394687891
other,22,0.0005120557616464
other,27,0.0004436593153513
male,44,0.0013506319373846
other,21,0.0016793564427644
male,21,0.0020074052736163
other,20,0.0006219373317435
other,26,0.0009285834967158
male,23,0.0010118068894371
other,43,0.0195713937282562
female,24,0.0005742703215219
male,21,0.0005454960046336
other,18,0.0004837727756239
male,23,0.0023211806546896
other,23,0.0006551822298206
male,26,0.0006405083113349
other,21,0.0005157142877578
other,22,0.0006127011729404
other,20,0.0006479084258899
male,21,0.0004883637884631
female,38,0.0007527837879024
female,21,0.0004460250784177
other,26,0.0022571512963622
other,18,0.0004361293686088
other,22,0.0004389631212688
other,26,0.0088008288294076
other,18,0.0007054156740196
other,20,0.0005053137429058
other,19,0.0004130675224587
other,19,0.0010578108485788
male,44,0.0027301437221467
other,18,0.0030791147146373
other,31,0.0008392879390157
male,40,0.0005346587277017
female,27,0.0033380980603396
other,15,0.0007061575306579
male,21,0.0005356189212761
male,44,0.0013732904335483
male,23,0.0022183381952345
other,21,0.025563770905137
female,55,0.0112189203500747
male,30,0.0004147045256104
other,27,0.0009809639304876
male,21,0.0007522957166656
other,24,0.0004257364198565
other,19,0.0007133026374503
other,20,0.0078384662047028
other,22,0.0005488424212671
male,21,0.0039627104997634
female,21,0.0006813613581471
other,22,0.0076545984484255
other,39,0.0004468479019124
other,20,0.0004517468623816
female,21,0.0142883667722344
other,42,0.0030800267122685
male,21,0.0005432627513073
other,20,0.0006223785458132
female,22,0.0006781478296034
other,21,0.0191456321626901
other,29,0.0072762430645525
male,21,0.0009183864458464
female,22,0.0042628087103366
other,19,0.0004066620604135
other,23,0.0008756408351473
other,28,0.0010164401028305
other,21,0.0007078197086229
female,38,0.0005315329763107
female,52,0.0004153122135903
other,12,0.0006058184662833
other,58,0.0006214351742528
female,55,0.0022454732097685
other,13,0.0004478019836824
male,19,0.0019069705158472
other,20,0.0004913784214295
other,19,0.0048146601766347
other,12,0.0006786792655475
other,23,0.0004026817332487
other,23,0.0004129510198254
other,12,0.0005319964839145
female,21,0.0191361643373966
other,18,0.0005375174223445
other,21,0.0005679749883711
other,21,0.0004846593947149
male,25,0.0005392480525188
other,24,0.0018178195459768
other,19,0.0007301918813027
other,20,0.0004425239458214
other,22,0.0036826075520366
male,23,0.0010215124348178
other,17,0.0005307181854732
other,13,0.0004060883366037
female,23,0.0004999475786462
female,21,0.0030682205688208
other,18,0.002113604452461
other,17,0.0005292890127748
other,40,0.0011040337849408
other,32,0.0011857462814077
male,49,0.0009375995141454
other,21,0.0007278270204551
male,26,0.0009311989415436
other,20,0.0076879682019352
other,25,0.0005778028280474
other,21,0.0004202383861411
other,23,0.0006710862508043
male,26,0.009466060437262
other,12,0.0024573339615017
male,39,0.000644531508442
other,18,0.0006340973195619
female,20,0.0004483303637243
other,23,0.0041688210330903
male,40,0.0004562899994198
other,25,0.019558623433113
other,12,0.0105433631688356
male,30,0.0009637792245484
male,61,0.0004022466600872
male,12,0.003203785046935
